"","item_ID","tag_final"
"239",239,"anxiety;negative affect"
"240",240,"positive affect"
"241",241,"negative affect"
"242",242,"negative affect"
"243",243,"negative affect"
"244",244,"positive affect"
"245",245,"psychosis;symptom"
"246",246,"psychosis;symptom"
"247",247,"psychosis;symptom"
"248",248,"psychosis;symptom"
"249",249,"psychosis;symptom"
"250",250,"psychosis;symptom"
"251",251,"psychosis;symptom"
"252",252,"psychosis;symptom"
"253",253,"psychosis;symptom"
"254",254,"psychosis;symptom"
"255",255,""
"256",256,"attention;cognition"
"257",257,"self-esteem"
"258",258,"self-esteem"
"259",259,"self-esteem"
"260",260,""
"261",261,"event;appraisal"
"262",262,"event;appraisal"
"263",263,"activity"
"264",264,"activity;appraisal"
"265",265,"activity;appraisal"
"266",266,"activity;appraisal"
"267",267,"activity;appraisal"
"268",268,"appraisal;activity"
"269",269,"activity;appraisal"
"270",270,"appraisal;activity"
"271",271,"location"
"272",272,"social context"
"273",273,"social context"
"274",274,"appraisal"
"275",275,"appraisal"
"276",276,"social context"
"277",277,"appraisal"
"278",278,"appraisal"
"279",279,"social support"
"280",280,"appraisal"
"281",281,"social interaction"
"282",282,"appraisal"
"283",283,"appraisal;social support"
"284",284,"appraisal"
"285",285,"appraisal"
"286",286,"appraisal"
"287",287,"appraisal"
"288",288,"social support"
"289",289,"physical health"
"290",290,"fatigue;physical health;negative affect"
"291",291,"physical health"
"292",292,"activity"
"293",293,"substance use"
"294",294,"substance use"
"295",295,"methodological;emotion regulation"
"296",296,"avoidance;emotion regulation"
"297",297,"avoidance;emotion regulation"
"298",298,"attention;emotion regulation"
"299",299,"emotion regulation;negative affect"
"300",300,"avoidance;emotion regulation"
"301",301,"emotion regulation"
"302",302,"appraisal"
"303",303,"appraisal"
"304",304,"event"
"305",305,"event;location"
"306",306,"event;social context"
"307",307,"event;appraisal"
"308",308,"event;appraisal"
"309",309,"event;appraisal"
"310",310,"emotion regulation;event;appraisal"
"311",311,"emotion regulation;event;appraisal"
"312",312,"emotion regulation;appraisal"
"313",313,"emotion regulation;event;rumination"
"314",314,"emotion regulation;event"
"315",315,"emotion regulation;event"
"316",316,"emotion regulation;event"
"317",317,"avoidance;emotion regulation;event"
"318",318,"coping;emotion regulation;event"
"319",319,"event"
"320",320,"event;location"
"321",321,"event;social context"
"322",322,"event;appraisal"
"323",323,"event;appraisal"
"324",324,"event;appraisal"
"325",325,"emotion regulation;event;social support"
"326",326,"emotion regulation;social support;appraisal"
"327",327,"emotion regulation;appraisal"
"328",328,"emotion regulation;event;rumination"
"329",329,"emotion regulation;event"
"330",330,"positive affect"
"331",331,"appraisal"
"332",332,"social support"
"333",333,"rumination;emotion regulation"
"334",334,"attention;emotion regulation"
"335",335,"emotion regulation"
"336",336,"emotion regulation"
"337",337,"methodological"
"338",338,"methodological"
"339",339,"sleep"
"340",340,"sleep"
"341",341,"sleep"
"342",342,"sleep"
"343",343,"pleasure"
"344",344,"cognition;methodological"
"345",345,"cognition;methodological"
"346",346,"cognition;methodological"
"347",347,"cognition;methodological"
"348",348,"cognition;methodological"
"349",349,"cognition;methodological"
"350",350,"cognition;methodological"
"351",351,"cognition;methodological"
"352",352,"attention;cognition"
"353",353,"attention;cognition"
"354",354,"positive affect"
"355",355,"positive affect"
"356",356,"positive affect"
"357",357,"positive affect"
"358",358,"positive affect"
"359",359,"positive affect"
"360",360,"positive affect"
"361",361,"positive affect"
"362",362,"positive affect"
"363",363,"negative affect;stress"
"364",364,"anxiety;negative affect"
"365",365,"negative affect"
"366",366,"negative affect"
"367",367,"negative affect"
"368",368,"negative affect"
"369",369,"anxiety;negative affect;worry"
"370",370,"negative affect"
"371",371,"negative affect"
"372",372,"fatigue;negative affect"
"373",373,"emotion regulation"
"374",374,"methodological"
"375",375,"self-esteem"
"376",376,"body image;self-esteem"
"377",377,"negative affect;self-esteem"
"378",378,"attention;rumination"
"379",379,"attention;rumination;emotion regulation"
"380",380,"rumination"
"381",381,"attention;emotion regulation"
"382",382,"emotion regulation"
"383",383,"emotion regulation"
"384",384,"emotion regulation"
"385",385,"coping;emotion regulation"
"386",386,"worry"
"387",387,"physical health"
"388",388,"physical health"
"389",389,"activity"
"390",390,"activity"
"391",391,"appraisal;motivation;activity"
"392",392,"appraisal;activity"
"393",393,"appraisal;activity"
"394",394,"appraisal;activity"
"395",395,"location"
"396",396,"social context"
"397",397,"social context"
"398",398,"appraisal;social support"
"399",399,"appraisal"
"400",400,"appraisal"
"401",401,"appraisal"
"402",402,"social interaction;activity"
"403",403,"positive affect"
"404",404,"substance use"
"405",405,"appraisal;event"
"406",406,"stress;event"
"407",407,"stress;event"
"408",408,"methodological"
"409",409,"methodological"
"410",410,"methodological"
"411",411,"methodological"
"412",412,"methodological"
"413",413,"methodological"
"414",414,"methodological"
"415",415,"physical health;symptom"
"416",416,"physical health;symptom"
"417",417,"physical health;symptom"
"418",418,"symptom;physical health"
"419",419,"physical health;symptom"
"420",420,"symptom;physical health"
"421",421,"symptom;physical health"
"422",422,"symptom;physical health"
"423",423,"symptom;physical health"
"424",424,"symptom;physical health"
"425",425,"symptom;physical health"
"426",426,"anxiety;negative affect;worry;symptom"
"427",427,"anxiety;negative affect;worry;symptom;rumination"
"428",428,"anxiety;negative affect;worry;symptom"
"429",429,"symptom;anxiety"
"430",430,"symptom;anxiety"
"431",431,"symptom;anxiety"
"432",432,"event;symptom;anxiety"
"433",433,"pleasure;symptom;depression"
"434",434,"depression;negative affect;symptom"
"435",435,"sleep;symptom;depression"
"436",436,"arousal;fatigue;symptom;depression"
"437",437,"symptom;depression;physical health"
"438",438,"symptom;depression;self-esteem"
"439",439,"cognition;symptom;depression"
"440",440,"symptom;depression"
"441",441,"symptom;depression;self-harm"
"442",442,"appraisal"
"443",443,"event;appraisal"
"444",444,"event;appraisal"
"445",445,"event;appraisal"
"446",446,"event;appraisal"
"447",447,"positive affect"
"448",448,"negative affect"
"449",449,"anxiety;negative affect;worry"
"450",450,"positive affect"
"451",451,"negative affect"
"452",452,"negative affect"
"453",453,"arousal;positive affect"
"454",454,"negative affect"
"455",455,"self-esteem"
"456",456,"self-esteem"
"457",457,"psychosis"
"458",458,"psychosis"
"459",459,"psychosis"
"460",460,"fatigue;negative affect"
"461",461,"motivation"
"462",462,"activity"
"463",463,"activity"
"464",464,""
"465",465,"activity;appraisal"
"466",466,"activity;appraisal"
"467",467,"activity;attention;appraisal"
"468",468,"location"
"469",469,"social context"
"470",470,"appraisal"
"471",471,"appraisal"
"472",472,"appraisal"
"473",473,"social context"
"474",474,""
"475",475,""
"476",476,"appraisal"
"477",477,"appraisal"
"478",478,"social interaction;activity"
"479",479,"appraisal"
"480",480,"appraisal"
"481",481,"event"
"482",482,"event;appraisal"
"483",483,"event;appraisal"
"484",484,"event;stress;appraisal"
"485",485,"event;social context"
"486",486,"event"
"487",487,"event;appraisal"
"488",488,"event;appraisal"
"489",489,"event;social context"
"490",490,"sleep"
"491",491,"sleep"
"492",492,"activity"
"493",493,"methodological"
"494",494,"location"
"495",495,"social context"
"496",496,""
"497",497,"arousal"
"498",498,"positive affect"
"499",499,"positive affect"
"500",500,"negative affect"
"501",501,"positive affect"
"502",502,"negative affect"
"503",503,"negative affect"
"504",504,"negative affect"
"505",505,"positive affect"
"506",506,"positive affect"
"507",507,"anxiety;negative affect;worry"
"508",508,"negative affect"
"509",509,"positive affect"
"510",510,"negative affect"
"511",511,"event;pleasure"
"512",512,"fatigue;negative affect"
"513",513,"physical health"
"514",514,"self-esteem"
"515",515,"substance use"
"516",516,"substance use"
"517",517,"substance use"
"518",518,"activity"
"519",519,""
"520",520,""
"521",521,"social interaction"
"522",522,"social interaction;appraisal"
"523",523,"event;appraisal"
"524",524,"event;appraisal"
"525",525,"event;appraisal"
"526",526,"event;appraisal"
"527",527,"event;appraisal"
"528",528,"event;appraisal"
"529",529,"physical health"
"530",530,"substance use"
"531",531,"event"
"532",532,"event"
"533",533,"event;social support"
"534",534,"positive affect;negative affect"
"535",535,""
"536",536,"sleep"
"537",537,"positive affect"
"538",538,"negative affect"
"539",539,"negative affect"
"540",540,"positive affect"
"541",541,"positive affect"
"542",542,"negative affect"
"543",543,"positive affect"
"544",544,"anxiety;negative affect"
"545",545,"positive affect"
"546",546,"positive affect"
"547",547,"negative affect"
"548",548,"negative affect;stress"
"549",549,"attention"
"550",550,"fatigue;negative affect"
"551",551,""
"552",552,"physical health"
"553",553,"substance use"
"554",554,"pleasure"
"555",555,"motivation"
"556",556,"activity"
"557",557,""
"558",558,""
"559",559,"social context"
"560",560,"location"
"561",561,"activity"
"562",562,"attention;emotion regulation"
"563",563,"rumination"
"564",564,"event"
"565",565,"event;appraisal"
"566",566,""
"567",567,"event"
"568",568,"event;appraisal"
"569",569,""
"570",570,""
"571",571,"pleasure"
"572",572,"pleasure"
"573",573,"motivation"
"574",574,"motivation"
"575",575,"anxiety;worry"
"576",576,"anxiety;worry"
"577",577,"coping;emotion regulation"
"578",578,"motivation"
"579",579,"attention;emotion regulation"
"580",580,""
"581",581,"methodological"
"582",582,"appraisal"
"583",583,"appraisal"
"584",584,"appraisal"
"585",585,"appraisal"
"586",586,"positive affect;negative affect"
"587",587,"positive affect"
"588",588,"social interaction"
"589",589,"appraisal"
"590",590,"appraisal"
"591",591,"appraisal"
"592",592,"appraisal"
"593",593,"appraisal"
"594",594,"appraisal"
"595",595,"attention;cognition;location;appraisal"
"596",596,"attention;cognition;location;appraisal"
"597",597,"appraisal"
"598",598,"appraisal"
"599",599,"appraisal"
"600",600,"appraisal"
"601",601,"appraisal"
"602",602,"appraisal"
"603",603,"appraisal"
"604",604,"appraisal"
"605",605,"appraisal"
"606",606,"appraisal"
"607",607,"appraisal"
"608",608,"appraisal"
"609",609,"appraisal"
"610",610,"social interaction"
"611",611,"appraisal"
"612",612,"social interaction"
"613",613,"activity"
"614",614,"activity"
"615",615,"appraisal"
"616",616,"social context"
"617",617,"appraisal"
"618",618,"appraisal"
"619",619,"positive affect;appraisal"
"620",620,"event"
"621",621,"event"
"622",622,""
"623",623,""
"624",624,""
"625",625,""
"626",626,"stress"
"627",627,"stress"
"628",628,"activity"
"629",629,"activity"
"630",630,""
"631",631,""
"632",632,""
"633",633,""
"634",634,"avoidance"
"635",635,""
"636",636,""
"637",637,""
"638",638,""
"639",639,""
"640",640,""
"641",641,""
"642",642,"appraisal"
"643",643,"appraisal"
"644",644,"appraisal"
"645",645,"appraisal"
"646",646,"positive affect;appraisal"
"647",647,"positive affect;appraisal"
"648",648,"positive affect;appraisal"
"649",649,"positive affect;appraisal"
"650",650,""
"651",651,""
"652",652,""
"653",653,"appraisal"
"654",654,"appraisal"
"655",655,"appraisal"
"656",656,"location"
"657",657,"social context"
"658",658,"stress;methodological"
"659",659,"activity;cognition;attention"
"660",660,""
"661",661,""
"662",662,"methodological"
"663",663,"sleep"
"664",664,"sleep"
"665",665,"sleep"
"666",666,"event"
"667",667,"appraisal;event"
"668",668,"appraisal;event"
"669",669,"appraisal;event"
"670",670,"appraisal;event"
"671",671,"appraisal;event"
"672",672,"rumination"
"673",673,"coping"
"674",674,"psychosis"
"675",675,"social context"
"676",676,"social interaction"
"677",677,"activity"
"678",678,"social interaction;social context"
"679",679,"social context"
"680",680,"appraisal;social support"
"681",681,"appraisal;social support"
"682",682,"appraisal;social support"
"683",683,"social context"
"684",684,"appraisal"
"685",685,"appraisal"
"686",686,"appraisal"
"687",687,"event"
"688",688,"event;stress"
"689",689,"event;rumination"
"690",690,"event;coping"
"691",691,"event"
"692",692,"appraisal"
"693",693,"appraisal;event"
"694",694,"appraisal;event"
"695",695,"appraisal;event"
"696",696,"appraisal;event"
"697",697,"emotion regulation;event"
"698",698,"emotion regulation;event;rumination"
"699",699,"emotion regulation;event"
"700",700,"emotion regulation;event"
"701",701,"emotion regulation;attention;event"
"702",702,"emotion regulation;event"
"703",703,"emotion regulation;event"
"704",704,"emotion regulation;appraisal;event"
"705",705,"event"
"706",706,"appraisal;event"
"707",707,"appraisal;event"
"708",708,"appraisal;event"
"709",709,"emotion regulation;event"
"710",710,"emotion regulation;event;rumination"
"711",711,"emotion regulation;event"
"712",712,"emotion regulation;event"
"713",713,"emotion regulation;event"
"714",714,"positive affect"
"715",715,"negative affect"
"716",716,"anxiety;negative affect"
"717",717,"positive affect"
"718",718,"self-esteem"
"719",719,"negative affect"
"720",720,"positive affect"
"721",721,"psychosis"
"722",722,"negative affect"
"723",723,"negative affect;stress"
"724",724,"negative affect"
"725",725,"positive affect"
"726",726,"self-esteem"
"727",727,""
"728",728,"negative affect"
"729",729,"negative affect"
"730",730,"appraisal"
"731",731,"appraisal"
"732",732,"appraisal"
"733",733,"appraisal"
"734",734,"appraisal;social support"
"735",735,"appraisal;social support"
"736",736,"appraisal;social support"
"737",737,"appraisal"
"738",738,"appraisal;activity"
"739",739,"appraisal;activity"
"740",740,"appraisal;activity"
"741",741,"appraisal;activity"
"742",742,"location"
"743",743,"fatigue;negative affect"
"744",744,"physical health"
"745",745,"self-harm"
"746",746,"self-harm;suicidality"
"747",747,"self-harm"
"748",748,"physical health;self-harm"
"749",749,"substance use"
"750",750,"methodological"
"751",751,"negative affect;positive affect"
"752",752,"arousal;positive affect"
"753",753,"positive affect"
"754",754,"positive affect"
"755",755,"negative affect"
"756",756,"positive affect"
"757",757,"negative affect"
"758",758,"negative affect"
"759",759,"negative affect"
"760",760,"positive affect"
"761",761,"positive affect"
"762",762,"negative affect;anxiety;worry"
"763",763,"arousal"
"764",764,"positive affect;arousal"
"765",765,"anxiety;negative affect"
"766",766,"negative affect"
"767",767,"cognition;attention"
"768",768,"worry;negative affect"
"769",769,"fatigue;negative affect"
"770",770,"physical health"
"771",771,"location"
"772",772,"social context"
"773",773,"appraisal"
"774",774,"social context"
"775",775,"appraisal"
"776",776,"sleep"
"777",777,"sleep"
"778",778,"sleep"
"779",779,"event"
"780",780,"event;appraisal"
"781",781,"event;appraisal"
"782",782,"event;appraisal"
"783",783,"event;appraisal"
"784",784,"event;appraisal;stress"
"785",785,"event;appraisal"
"786",786,"activity"
"787",787,"substance use"
"788",788,"substance use"
"789",789,"substance use"
"790",790,"physical health"
"791",791,"methodological"
"792",792,"methodological"
"793",793,"physical health;substance use"
"794",794,"physical health;substance use"
"795",795,""
"796",796,"physical health"
"797",797,"negative affect;physical health;substance use"
"798",798,"physical health;substance use"
"799",799,"physical health;substance use"
"800",800,"methodological"
"801",801,"methodological"
"802",802,"methodological"
"803",803,"methodological"
"804",804,"methodological"
"805",805,"methodological"
"806",806,"appraisal;methodological"
"807",807,"appraisal;methodological"
"808",808,"methodological"
"809",809,"methodological"
"810",810,"methodological"
"811",811,"methodological"
"812",812,"methodological"
"813",813,"methodological"
"814",814,"methodological"
"815",815,"methodological"
"816",816,"methodological"
"817",817,""
"818",818,"stress;negative affect"
"819",819,"stress;negative affect"
"820",820,"negative affect;anxiety;worry"
"821",821,"anxiety;worry"
"822",822,"depression;negative affect"
"823",823,"depression;negative affect"
"824",824,"fatigue"
"825",825,"physical health"
"826",826,""
"827",827,"negative affect"
"828",828,"social interaction"
"829",829,""
"830",830,""
"831",831,""
"832",832,""
"833",833,"rumination"
"834",834,"rumination"
"835",835,""
"836",836,"social interaction"
"837",837,"social interaction"
"838",838,"social interaction"
"839",839,"social interaction"
"840",840,"social interaction"
"841",841,"social interaction"
"842",842,"social interaction"
"843",843,"social interaction"
"844",844,"social interaction"
"845",845,"social interaction"
"846",846,""
"847",847,"positive affect"
"848",848,"positive affect"
"849",849,"positive affect"
"850",850,"positive affect"
"851",851,"negative affect"
"852",852,"negative affect"
"853",853,"anxiety;negative affect"
"854",854,"negative affect"
"855",855,"negative affect"
"856",856,"psychosis;symptom"
"857",857,"negative affect;psychosis;stress;symptom"
"858",858,"psychosis;appraisal"
"859",859,"appraisal;psychosis"
"860",860,"appraisal;psychosis"
"861",861,"appraisal"
"862",862,"appraisal;psychosis"
"863",863,"appraisal"
"864",864,"psychosis;symptom"
"865",865,"psychosis"
"866",866,"negative affect;psychosis;symptom"
"867",867,"psychosis"
"868",868,"psychosis;rumination"
"869",869,"location"
"870",870,"social context"
"871",871,"social context;appraisal"
"872",872,"activity"
"873",873,"activity;appraisal"
"874",874,"activity;appraisal"
"875",875,"symptom"
"876",876,"coping;emotion regulation"
"877",877,"coping;emotion regulation"
"878",878,"coping;emotion regulation"
"879",879,"coping;emotion regulation"
"880",880,"coping;emotion regulation"
"881",881,"coping;emotion regulation"
"882",882,"coping;emotion regulation"
"883",883,"coping;emotion regulation"
"884",884,"coping;emotion regulation"
"885",885,"coping;emotion regulation"
"886",886,"coping;emotion regulation"
"887",887,"coping;emotion regulation"
"888",888,"coping;substance use;emotion regulation"
"889",889,"coping;emotion regulation"
"890",890,"methodological"
"891",891,""
"892",892,"negative affect"
"893",893,"negative affect"
"894",894,"negative affect"
"895",895,"negative affect"
"896",896,"negative affect"
"897",897,"psychosis"
"898",898,"psychosis"
"899",899,"psychosis"
"900",900,"psychosis"
"901",901,"psychosis"
"902",902,"psychosis"
"903",903,"psychosis"
"904",904,"psychosis"
"905",905,"activity"
"906",906,"activity;appraisal"
"907",907,"activity;appraisal"
"908",908,"activity;appraisal"
"909",909,"event"
"910",910,"event;appraisal"
"911",911,"social context"
"912",912,"appraisal"
"913",913,""
"914",914,"physical health;event"
"915",915,"physical health"
"916",916,"physical health;substance use"
"917",917,"physical health;substance use"
"918",918,"physical health"
"919",919,""
"920",920,""
"921",921,"physical health"
"922",922,"physical health"
"923",923,"physical health"
"924",924,"attention;physical health"
"925",925,"substance use;physical health"
"926",926,"physical health"
"927",927,"physical health"
"928",928,"physical health"
"929",929,"identity;self-esteem"
"930",930,"identity"
"931",931,"identity;positive affect"
"932",932,"identity"
"933",933,"identity"
"934",934,"identity"
"935",935,"event"
"936",936,"anxiety;negative affect;stress"
"937",937,""
"938",938,"event"
"939",939,"anxiety;negative affect;stress"
"940",940,""
"941",941,""
"942",942,"anxiety;negative affect;stress"
"943",943,""
"944",944,"stress"
"945",945,"social support"
"946",946,"social support"
"947",947,"social context"
"948",948,"appraisal"
"949",949,"appraisal"
"950",950,"appraisal"
"951",951,"appraisal"
"952",952,"social interaction;activity"
"953",953,"appraisal;social support"
"954",954,"appraisal;social support"
"955",955,"appraisal;social support"
"956",956,"appraisal"
"957",957,"social context"
"958",958,"social interaction;activity"
"959",959,"appraisal;social support"
"960",960,"appraisal;social support"
"961",961,"appraisal;social support"
"962",962,"appraisal"
"963",963,"appraisal"
"964",964,"appraisal"
"965",965,"self-harm"
"966",966,"suicidality"
"967",967,"self-harm"
"968",968,"self-harm;suicidality"
"969",969,"symptom;negative affect;worry"
"970",970,"worry;anxiety;symptom"
"971",971,"worry;anxiety;symptom"
"972",972,"anxiety;symptom"
"973",973,"anxiety;symptom"
"974",974,"anxiety;symptom"
"975",975,"anxiety;symptom"
"976",976,"pleasure;depression;symptom"
"977",977,"symptom;depression;negative affect"
"978",978,"sleep;depression;symptom"
"979",979,"depression;symptom;arousal;fatigue"
"980",980,"depression;symptom;physical health"
"981",981,"depression;symptom;self-esteem"
"982",982,"cognition;depression;symptom"
"983",983,"depression;symptom"
"984",984,"depression;symptom;suicidality;self-harm"
"985",985,"social interaction"
"986",986,"social interaction"
"987",987,"social interaction"
"988",988,"social interaction"
"989",989,"social interaction"
"990",990,"social interaction"
"991",991,"social interaction"
"992",992,"social interaction"
"993",993,"positive affect"
"994",994,"positive affect"
"995",995,"positive affect"
"996",996,"positive affect"
"997",997,"positive affect"
"998",998,"negative affect"
"999",999,"negative affect"
"1000",1000,"negative affect"
"1001",1001,"negative affect"
"1002",1002,"negative affect"
"1003",1003,""
"1004",1004,""
"1005",1005,""
"1006",1006,""
"1007",1007,""
"1008",1008,""
"1009",1009,""
"1010",1010,"negative affect"
"1011",1011,""
"1012",1012,"social support"
"1013",1013,""
"1014",1014,"event;appraisal"
"1015",1015,"event"
"1016",1016,"rumination"
"1017",1017,"rumination"
"1018",1018,"rumination"
"1019",1019,"rumination"
"1020",1020,"physical health;activity"
"1021",1021,"activity;physical health"
"1022",1022,"activity;physical health;stress"
"1023",1023,"activity;physical health"
"1024",1024,"activity;physical health"
"1025",1025,"symptom"
"1026",1026,"body image;symptom"
"1027",1027,"symptom"
"1028",1028,"symptom"
"1029",1029,"avoidance;symptom"
"1030",1030,"negative affect;symptom"
"1031",1031,"symptom"
"1032",1032,"symptom"
"1033",1033,"symptom"
"1034",1034,"symptom"
"1035",1035,"symptom"
"1036",1036,"negative affect"
"1037",1037,"negative affect"
"1038",1038,""
"1039",1039,"sleep"
"1040",1040,"sleep"
"1041",1041,"arousal;sleep"
"1042",1042,"sleep"
"1043",1043,""
"1044",1044,""
"1045",1045,""
"1046",1046,""
"1047",1047,"positive affect"
"1048",1048,"positive affect"
"1049",1049,"positive affect"
"1050",1050,"negative affect;self-esteem"
"1051",1051,"negative affect"
"1052",1052,"anxiety;negative affect"
"1053",1053,"negative affect"
"1054",1054,"negative affect"
"1055",1055,"psychosis"
"1056",1056,"psychosis"
"1057",1057,"psychosis"
"1058",1058,"psychosis"
"1059",1059,""
"1060",1060,"physical health"
"1061",1061,"physical health"
"1062",1062,"self-esteem"
"1063",1063,"self-esteem"
"1064",1064,"activity"
"1065",1065,"activity;appraisal"
"1066",1066,"activity;appraisal"
"1067",1067,"activity;appraisal"
"1068",1068,"activity;appraisal"
"1069",1069,"location"
"1070",1070,"social context"
"1071",1071,"social context;appraisal"
"1072",1072,"social context;appraisal"
"1073",1073,"social context"
"1074",1074,"social context"
"1075",1075,"social context"
"1076",1076,"social context"
